workstream,question_it_would_help_answer,current_data_anchor,segment_data_inputs,work_completed_so_far,unresolved_items,possible_follow_up_data
Candidate shock catalog,Which event families and windows are available for discussion before choosing a research design.,"11 source-backed shock types are cataloged, spanning anchor years 1980-2020.","Generated shock catalog, source table, exposure-family mapping, and event-window readiness screens.",Online source-backed catalog rows are grouped by shock type and separated from treatment/control decisions.,Each candidate still needs an explicit treatment map if it is used in estimation.,"Contract rulebooks, exchange histories, ISO/RTO membership, utility territories, plant locations, and filing examples."
Early electricity output-producer hedgeability,Whether new electricity hedgeability is associated with changes in segment reporting or internal capital allocation among electricity producers.,"1,482 firms; 19,568 firm-years in the electric-power exposure screen.","BUSSEG/OPSEG segment operating margin, capex, assets, segment counts, HHI, and non-operating segment indicators.","Strict early RSZ margin row is present: coef +0.181, t=2.88.",HQ-state shock assignment is currently a proxy for operating exposure.,"Plant locations, utility operating-company footprints, service territories, EIA/FERC data, or other operating-footprint evidence."
Electricity input-cost users,Whether high-electricity-input firms respond differently when electricity procurement or market structure changes.,Existing input-intensity files identify high-usage manufacturing and industrial candidates.,"BUSSEG/OPSEG electricity-input intensity proxies, margins, capex, segment survival, and industry composition.","Input manufacturing RSZ margin row is present: coef -0.012, t=-0.34.",The outcome definition for input-cost users remains to be specified separately from the producer-side RSZ outcome.,"Direct power-procurement disclosures, Item 7A derivative text, plant-level electricity intensity, margin volatility, or procurement-region exposure."
Modern electricity market expansion screens,Whether later power-market changes are visible in segment allocation or reporting outcomes.,Segment data extends through 2026 for the electric-power exposure screen.,BUSSEG/OPSEG RSZ-style allocation outcomes and firm-year segment granularity measures.,"Modern regional, EIM, and period-break result tables are present in reports/tables/ where generated.",Regional treatment mapping and treated cohort size vary across events.,"Event-specific operating footprints, market participation data, and a written event-by-event treatment map."
Energy commodity producer shocks: WTI and natural gas,Whether energy commodity derivative availability is associated with segment-level performance or investment allocation.,"2,808 firms; 31,291 firm-years in the oil/gas and petroleum exposure screen.","BUSSEG/OPSEG operating margin, capex, assets, and energy-industry exposure groups.","The shock catalog now separates petroleum, refined-product, natural-gas, RIN, export, and storage/dislocation windows.",The treatment map and mechanism narrative need to be separated from the electricity-output workstream.,"Contract launch documentation, commodity exposure validation, facility/geography links, and firm/segment examples."
Geographic and currency exposure,Whether foreign or currency exposure can be measured from geographic segment disclosures.,GEOSEG average margin-ready share across decades is 22.7%; name and source-currency availability improve after the 1990s.,"GEOSEG names, source currency/country fields, sales, and geographic segment counts.","The report series profiles GEOSEG decade coverage, top geography names, and top source currencies.","Geographic labels are broad, and ops/capxs coverage is lower than in BUSSEG.","Country/region parsing, FX derivative launch dates, foreign-sales controls, and text examples from filings."
Weather derivative or weather-risk exposure,Whether weather-risk hedging or exposure can be linked to segment reporting or allocation.,STSEG is small; GEOSEG is mostly country/region geography rather than local operating exposure.,"STSEG where available, GEOSEG names, utility/agriculture segment screens, and segment reporting granularity.",The shock catalog includes a 1999 weather-derivative window and a mechanical coverage screen.,Local exposure is not directly observed in the segment file.,"Plant/location data, local weather exposure, service territories, and weather-derivative market event documentation."
Freight and transport derivative exposure,Whether freight or transport derivative availability can be connected to segment investment or operating outcomes.,"1,336 firms; 13,532 firm-years in the transport/freight exposure screen.","BUSSEG/OPSEG transport/freight industry screens, operating margin, capex, and assets.",The shock catalog separates early Baltic freight derivatives from modern route products.,The treated population has not been connected to route or trade-flow exposure.,"Freight derivative launch sources, shipping/airline/rail exposure checks, and industry-specific examples."
Metals/mining and commodity producer exposure,Whether metal or mining commodity derivative availability can be connected to segment performance or investment.,"3,403 firms; 35,908 firm-years in the metals/mining exposure screen.","BUSSEG/OPSEG metals/mining industry screens, operating margin, capex, and assets.",The shock catalog includes metals contract availability and silver market-rule windows.,Commodity-specific producer/user exposure is not yet separated.,"Contract launch sources, commodity exposure examples, and industry-specific treatment definitions."
Segment-name and 10-K text exposure discovery,Whether segment names and filings can help validate exposure groups or find examples.,The raw segment file includes segment names; the report series includes keyword coverage screens.,"Segment names, keyword groups, SIC/NAICS fields, and candidate firm lists.","Keyword screens cover corporate/unallocated, electricity, oil/gas, foreign, metals, transport, and manufacturing-input terms.",Segment names include generic labels and require validation before they can define exposure groups.,"10-K Item 7A text, derivative disclosures, hand-checked examples, and exposure validation notes."
