shock_id,shock_type,shock_family,candidate_window,event_anchor_year,window_start_year,window_end_year,source_ids,source_summary,exposure_families,segment_mapping_note,mapping_requirement,caveats,source_urls
pjm_capacity_rpm_2007,capacity market design,PJM Reliability Pricing Model capacity market,2007,2007,2007,2007,pjm_rpm_auction,PJM completed its first annual RPM capacity auction in April 2007.,electric_power_output,"Maps to PJM generators, load-serving entities, and capacity-exposed utilities.",Keep capacity-market exposure separate from energy-price hedgeability.,Capacity-market incentives are not the same mechanism as energy futures availability.,https://www.pjm.com/-/media/DotCom/Images/ctc-display/modules/timeline/2007-first-annual-pdf.ashx
petroleum_futures_institutionalization_1981_1986,commodity derivative availability,Petroleum market opening and crude futures,1981-1986,1983,1981,1986,exec_order_12287; cftc_energy_derivatives; cme_wti_40_years; cme_first_trade_dates,Oil/refined-product price decontrol in 1981; NYMEX WTI crude futures in 1983; WTI options by 1986.,oil_gas_petroleum; airlines_fuel_sensitive; transport_freight; chemicals,"Maps mechanically to oil/gas producers, petroleum refining, petroleum distribution, oilfield services, and fuel-sensitive users.",Separate output-price exposure from fuel/feedstock input exposure before treatment coding.,"This is an institutional hedgeability window, not a single commodity-price shock.",https://www.presidency.ucsb.edu/documents/executive-order-12287-decontrol-crude-oil-and-refined-petroleum-products; https://www.cftc.gov/sites/default/files/opa/speeches/opadial-69.htm; https://www.cmegroup.com/openmarkets/energy/2023/how-wti-became-the-most-important-commodity-contract-on-the-planet.html; https://www.cmegroup.com/media-room/historical-first-trade-dates.html
refined_products_hedgeability_1978_1994,commodity derivative availability,Refined petroleum product futures and spreads,1978-1994,1984,1978,1994,cme_first_trade_dates,"Heating oil, gasoline, and later crack-spread products appear inside the segment-data window.",oil_gas_petroleum; airlines_fuel_sensitive; transport_freight; chemicals,"Relevant for refiners, fuel wholesalers, airlines, transport, and fuel/feedstock users.",Segment SIC/name screens do not by themselves distinguish refined-product producers from fuel users.,Multiple product dates should be represented as separate sub-events if used for estimation.,https://www.cmegroup.com/media-room/historical-first-trade-dates.html
ag_options_and_extensions_1984_2011,commodity derivative availability,Agriculture/food options and contract extensions,1984-2011,1985,1984,2011,cme_first_trade_dates,Agricultural options and extensions arrive inside the sample even though core grain futures are much older.,agriculture_food,"Maps to agriculture, food processors, livestock, dairy, fertilizer, and farm inputs.",Choose sub-events by commodity and producer/user mechanism.,"A broad 1984-2011 row is only a catalog grouping, not a single event design.",https://www.cmegroup.com/media-room/historical-first-trade-dates.html
metals_contract_availability_1982_1990,commodity derivative availability,Metals futures/options availability,1982-1990,1988,1982,1990,cme_first_trade_dates,"Options and contract extensions for gold, silver, copper, and platinum occur inside the segment-data window.",metals_mining,"Maps to mining, primary metals, and industrial metal users.",Separate commodity producers from downstream metal users if mechanism matters.,Some core metals futures predate the segment sample; options/extensions are the cleaner timing variation.,https://www.cmegroup.com/media-room/historical-first-trade-dates.html
natural_gas_market_liberalization_1990_1993,commodity derivative availability,Natural gas futures and pipeline unbundling,1990-1993,1990,1990,1993,cme_natural_gas; ferc_order_636,Henry Hub natural gas futures launched in 1990; FERC Order 636 restructured interstate pipeline services.,oil_gas_petroleum; gas_utility; electric_power_output; chemicals; cement_minerals,"Maps to gas producers, gas utilities, pipelines, power producers, and gas-intensive industrial users.",Local basis and pipeline exposure require geography or facility data beyond segment rows.,Henry Hub benchmark exposure is not equivalent to local delivered-gas exposure.,https://www.cmegroup.com/articles/2023/natural-gas-from-pipelines-to-portfolios.html; https://www.ferc.gov/order-no-636-restructuring-pipeline-services
california_carbon_2011,environmental/compliance market,California carbon allowances,2011,2011,2011,2011,ice_cca,ICE announced the first exchange-cleared California Carbon Allowance forward trade in 2011.,electric_power_output; cement_minerals; chemicals; paper_pulp; metals_mining,"Maps to California emitters, fuels, industrial facilities, and utilities-adjacent segments.",Requires California facility/program exposure.,Not a national treatment without state/program mapping.,https://www.prnewswire.com/news-releases/ice-announces-first-trade-of-california-emissions-contract-128580553.html
rin_credit_hedgeability_2010_2013,environmental/compliance market,Renewable Identification Number credits,2010-2013,2013,2010,2013,epa_rfs2; epa_rins; cme_rin_futures,EPA RFS2 and tradable RIN compliance credits precede exchange-listed D4/D5/D6 RIN futures in 2013.,oil_gas_petroleum; agriculture_food,"Maps to refiners, fuel blenders, biofuel producers, and petroleum marketing.",Compliance status and blender/refiner role must be identified outside generic industry screens.,Industry SIC does not equal RFS obligated-party status.,https://www.epa.gov/renewable-fuel-standard/renewable-fuel-standard-rfs2-final-rule; https://www.epa.gov/renewable-fuel-standard/renewable-identification-numbers-rins-under-renewable-fuel-standard-program; https://investor.cmegroup.com/news-releases/news-release-details/cme-group-announces-new-futures-contracts-renewable
oil_storage_dislocation_2020,event shock,WTI storage/futures dislocation,2020,2020,2020,2020,eia_negative_wti; cftc_negative_wti,"WTI May 2020 futures settled below zero amid storage constraints, demand collapse, and contract-market mechanics.",oil_gas_petroleum; transport_freight,"Maps to crude producers, storage, midstream, refiners, and oilfield services.",Need to account for COVID demand collapse and storage/geography exposure.,"This is an event/dislocation window, not a contract-availability window.",https://www.eia.gov/todayinenergy/detail.php?id=43495; https://www.cftc.gov/PressRoom/PressReleases/8315-20
freight_derivatives_1985_and_modern_routes,freight derivative availability,Freight and shipping derivatives,1985 and later route products,1985,1985,2009,baltic_timeline; cme_freight,"Baltic freight-index derivatives begin in the 1980s; modern exchange listings cover container, tanker, LNG/LPG, and petroleum freight.",transport_freight; oil_gas_petroleum,"Maps to shipping, logistics, commodity exporters/importers, and energy transport.","Needs route, shipping, or trade-flow exposure to go beyond broad transport SIC.",Modern route products are not captured by a single 1985 event year.,https://www.balticexchange.com/en/who-we-are/history/baltic-timeline/1980-1992.html; https://www.cmegroup.com/markets/energy/freight.html
silver_market_rules_1980_1981,market rule episode,Silver market rule shock,1979-1981,1980,1979,1981,cftc_history_1980s; cftc_metals_testimony,CFTC historical material links the Hunt silver episode to subsequent exchange and regulatory market-rule actions.,metals_mining,Maps mostly to silver and diversified mining exposure.,Need commodity-specific mining exposure examples.,This is a market-integrity/rule-change episode rather than a broad operating hedgeability shock.,https://www.cftc.gov/About/HistoryoftheCFTC/history_1980s.html; https://www.cftc.gov/PressRoom/SpeechesTestimony/metalmarkets032510_berkovitz
crude_export_reopening_2015_2016,policy/market access,U.S. crude export reopening,2015-2016,2015,2015,2016,eia_crude_exports; gao_crude_exports,"U.S. crude export restrictions were lifted in late 2015, with export access expanding afterward.",oil_gas_petroleum,"Maps to U.S. crude producers, Gulf Coast midstream/export infrastructure, and refiners facing changed crude spreads.",Separate domestic producers from refiners whose input spreads may move differently.,Policy exposure depends on production/refining position and geography.,https://www.eia.gov/dnav/pet/pet_move_exp_a_epc0_eex_mbbl_a.htm; https://www.gao.gov/products/gao-21-118
