shock_id,source_id,source_title,source_url,source_type,source_claim
ag_options_and_extensions_1984_2011,cme_first_trade_dates,CME Group Historical First Trade Dates,https://www.cmegroup.com/media-room/historical-first-trade-dates.html,exchange,CME historical list records first trade dates for listed futures and options contracts.
california_carbon_2011,ice_cca,ICE Announces First Trade of California Emissions Contract,https://www.prnewswire.com/news-releases/ice-announces-first-trade-of-california-emissions-contract-128580553.html,exchange,ICE announced the first exchange-cleared California Carbon Allowance forward trade in August 2011.
cleared_nodal_power_contracts_2009,nodal_dcm,Nodal Exchange Receives CFTC Approval to Register as a Designated Contract Market,https://www.nodalexchange.com/nodal-exchange-receives-cftc-approval-to-register-as-a-designated-contract-market/,exchange,Nodal Exchange received CFTC approval to register as a designated contract market.
cleared_nodal_power_contracts_2009,nodal_launch,Nodal Exchange and LCH.Clearnet Launch Service for Nodal Power Contracts,https://www.nodalexchange.com/lch-clearnet-and-nodal-exchange-launch-service-for-nodal-power-contracts/,exchange,Nodal Exchange launched cleared cash-settled nodal power contracts in April 2009.
cleared_power_swap_expansion_2005_2009,cme_power_2005,NYMEX to Launch Eleven New Financially Settled Electricity Futures Contracts,https://www.cmegroup.com/media-room/press-releases/2005/2/09/exchange_to_launchelevennewfinanciallysettledelectricityfuturesc.html,exchange,NYMEX announced financially settled electricity futures across several power markets in 2005.
cleared_power_swap_expansion_2005_2009,cme_power_2009,"CME Group Announces Launch of New PJM, ISO Electricity Futures",https://investor.cmegroup.com/news-releases/news-release-details/cme-group-announces-launch-new-pjm-iso-electricity-futures,exchange,CME announced new PJM and ISO electricity futures in 2009.
cleared_power_swap_expansion_2005_2009,cme_power_ser4999,CME Market Regulation Advisory SER-4999,https://www.cmegroup.com/tools-information/lookups/advisories/market-regulation/SER-4999.html,exchange,CME advisory documents additional electricity product listings in September 2009.
crude_export_reopening_2015_2016,eia_crude_exports,EIA Petroleum Exports Data,https://www.eia.gov/dnav/pet/pet_move_exp_a_epc0_eex_mbbl_a.htm,government,EIA tracks U.S. crude oil export quantities before and after the export-policy change.
crude_export_reopening_2015_2016,gao_crude_exports,"GAO-21-118, Crude Oil Exports",https://www.gao.gov/products/gao-21-118,government,GAO reviews effects and implementation issues around the lifting of crude-oil export restrictions.
early_exchange_futures_midwest_south_1998,cftc_1999_futures,CFTC 1999 Futures by Exchange,https://www.cftc.gov/sites/default/files/files/anr/anr1999_futures_by_exchange.pdf,regulator,"CFTC annual tables list electricity futures including PJM, Cinergy, Entergy, Palo Verde, and COB."
early_exchange_futures_midwest_south_1998,ferc_midwest_report,FERC Midwest Power Market Staff Report,https://www.ferc.gov/sites/default/files/2020-05/mastback.pdf,regulator,FERC staff report discusses Cinergy and Entergy power futures and the Midwest/South power-market context.
early_exchange_futures_pjm_1999,cftc_1999_futures,CFTC 1999 Futures by Exchange,https://www.cftc.gov/sites/default/files/files/anr/anr1999_futures_by_exchange.pdf,regulator,"CFTC annual tables list electricity futures including PJM, Cinergy, Entergy, Palo Verde, and COB."
early_exchange_futures_west_1996,caiso_ferc_staff,FERC Staff Report on Western Energy Markets,https://www.caiso.com/documents/fercstaffreportel00-95-3.pdf,regulator,"FERC/CAISO staff report discusses western electricity futures hubs including COB, Palo Verde, and Mid-Columbia."
early_exchange_futures_west_1996,cftc_energy_derivatives,"CFTC, Energy Derivatives: The Regulatory Challenge of a Global Marketplace",https://www.cftc.gov/sites/default/files/opa/speeches/opadial-69.htm,regulator,"CFTC describes early energy derivative trading, including first electricity futures trading on March 29, 1996."
early_exchange_futures_west_1996,cme_delist_power,CME/NYMEX Delists Physically Settled Electricity Contracts,https://www.cmegroup.com/media-room/press-releases/2006/1/17/exchange_to_delistphysicallysettledelectricitycontractsonnymexcl.html,exchange,NYMEX announced delisting of several physically settled electricity contracts in 2006.
ercot_nodal_market_2010,ercot_2010_financials,ERCOT 2010 Financial Statements,https://www.ercot.com/files/docs/2011/04/26/ercot_2010_financial_statements.pdf,rto_iso,ERCOT documents the 2010 nodal market implementation and market redesign.
